molecular_weight,alogp,topological_polar_surface_area,hydrogen_bond_donors,hydrogen_bond_acceptors,MolWt_rdkit,LogP_rdkit,TPSA_rdkit,HDonors_rdkit,HAcceptors_rdkit,RotBonds_rdkit
448.51,1.97,116.2,1,8,448.51200000000034,1.9745999999999995,116.20000000000002,1.0,8.0,4.0
1079.81,23.33,78.9,0,6,1079.8149999999985,23.33450000000002,78.9,0.0,6.0,63.0
340.38,-2.73,153.78,6,6,340.38000000000005,-2.734899999999997,153.78,6.0,6.0,5.0
708.81,7.33,89.55,0,11,708.8080000000002,7.329600000000009,89.55000000000003,0.0,11.0,10.0
369.42,3.19,49.39,0,6,369.4170000000001,3.193200000000002,49.39,0.0,6.0,3.0
385.87,0.79,107.53,4,5,385.87300000000005,0.7932000000000006,107.53,4.0,5.0,8.0
877.47,18.09,78.9,0,6,877.4739999999995,18.090799999999977,78.9,0.0,6.0,50.0
530.67,3.96,119.49,4,5,530.6650000000003,3.960100000000002,119.49000000000001,4.0,5.0,2.0
741.92,1.67,201.75,5,14,741.916,1.6735000000000053,201.75,5.0,14.0,9.0
278.26,0.54,107.22,4,6,278.26,0.5357999999999996,107.22000000000001,4.0,6.0,0.0
392.54,3.11,83.83,2,5,392.5360000000002,3.1092000000000013,83.83000000000001,2.0,5.0,3.0
463.53,4.21,68.15,0,7,463.5300000000002,4.2066000000000034,68.15,0.0,6.0,4.0
1108.15,3.88,269.97,1,22,1108.1530000000002,3.87940000000001,269.96999999999997,1.0,22.0,26.0
558.5,2.96,186.37,7,11,558.4950000000002,2.9600000000000017,186.36999999999998,7.0,11.0,2.0
396.4,3.64,80.29,0,7,396.39500000000015,3.644000000000003,80.29,0.0,7.0,6.0
291.44,2.44,39.6,1,4,291.439,2.4389200000000004,39.6,1.0,4.0,2.0
819.62,4.05,133.68,4,10,819.6170000000001,4.047900000000008,133.68,4.0,10.0,22.0
364.91,5.02,43.37,0,3,364.9130000000002,5.016500000000005,43.370000000000005,0.0,3.0,1.0
342.15,2.15,91.76,1,5,342.14500000000015,2.15442,91.75999999999999,1.0,5.0,4.0
505.68,4.25,105.95,2,8,505.67700000000036,4.253520000000004,105.95,2.0,8.0,2.0
572.52,2.79,187.89,5,11,572.5220000000004,2.790520000000001,187.89,5.0,11.0,1.0
238.37,2.89,40.46,2,2,238.37099999999998,2.8924000000000016,40.46,2.0,2.0,4.0
604.83,4.67,136.68,5,7,604.8250000000002,4.667700000000005,136.68,5.0,7.0,3.0
444.96,2.4,77.82,2,5,444.9630000000002,2.4027000000000003,77.82000000000001,2.0,5.0,7.0
362.32,0.77,149.87,4,6,362.31900000000013,0.7748000000000002,149.86999999999998,4.0,6.0,4.0
248.32,3.93,57.53,2,2,248.322,3.929900000000004,57.53,2.0,2.0,6.0
483.6,-0.76,121.08,4,9,483.60200000000015,-0.7581999999999958,121.08000000000003,4.0,9.0,6.0
386.4,3.21,75.61,1,7,386.40000000000015,3.2133000000000025,75.61000000000001,1.0,7.0,4.0
375.5,4.42,39.34,1,2,375.49700000000007,4.4234000000000036,39.34,1.0,2.0,2.0
877.47,18.09,78.9,0,6,877.4739999999993,18.090799999999977,78.9,0.0,6.0,50.0
1056.31,11.6,173.24,5,12,1056.3059999999998,11.598899999999988,173.23999999999998,5.0,12.0,16.0
200.23,0.59,66.76,2,4,200.23399999999998,0.5851,66.75999999999999,2.0,4.0,3.0
504.44,-7.57,268.68,11,16,504.4380000000001,-7.572999999999989,268.67999999999995,11.0,16.0,7.0
404.51,5.18,64.28,0,6,404.5140000000003,5.180200000000005,64.28,0.0,6.0,6.0
447.5,-1.86,221.94,8,6,447.4960000000002,-1.8621999999999943,221.94,8.0,6.0,12.0
756.1,12.99,117.31,2,7,756.1029999999993,12.985899999999981,117.31,2.0,7.0,41.0
428.7,7.18,37.3,1,2,428.7010000000003,7.183400000000009,37.3,1.0,2.0,1.0
658.81,1.95,181.44,5,11,658.807,1.945900000000001,181.43999999999997,5.0,11.0,4.0
278.52,7.6,0.0,0,0,278.52399999999994,7.600000000000007,0.0,0.0,0.0,17.0
793.31,16.04,78.9,0,6,793.3119999999994,16.03839999999996,78.9,0.0,6.0,46.0
415.44,1.91,136.15,3,7,415.44200000000023,1.9127999999999996,136.15,3.0,7.0,5.0
669.81,4.31,141.2,1,11,669.8120000000001,4.308700000000003,141.20000000000002,1.0,11.0,8.0
356.43,2.65,81.35,0,6,356.4260000000003,2.654300000000001,81.35000000000001,0.0,6.0,4.0
362.38,1.22,99.13,1,7,362.3780000000001,1.2162999999999997,99.13000000000002,1.0,7.0,3.0
424.5,2.66,68.31,0,5,424.49700000000024,2.656900000000001,68.31,0.0,5.0,5.0
456.76,8.6,26.3,0,2,456.75500000000034,8.595600000000006,26.3,0.0,2.0,7.0
501.64,2.27,82.22,1,4,501.6430000000002,2.2723000000000004,82.22,1.0,4.0,9.0
260.42,4.31,20.23,1,1,260.421,4.312420000000004,20.23,1.0,1.0,3.0
863.45,17.84,78.9,0,6,863.4469999999992,17.844799999999974,78.9,0.0,6.0,50.0
1124.04,27.43,46.53,1,3,1124.043999999998,27.425400000000064,46.53,1.0,3.0,71.0
272.48,5.98,0.0,0,0,272.476,5.975400000000007,0.0,0.0,0.0,0.0
561.58,-0.21,164.45,4,11,561.5840000000002,-0.2117999999999982,164.45,4.0,11.0,7.0
353.4,-1.57,141.75,5,6,353.40000000000003,-1.5711999999999993,141.75,5.0,6.0,6.0
516.68,6.12,80.81,0,5,516.6780000000003,6.115300000000007,80.81,0.0,5.0,7.0
332.35,2.84,77.38,2,6,332.3520000000001,2.8423000000000007,77.38000000000001,2.0,6.0,4.0
378.41,5.36,99.32,2,5,378.4090000000001,5.360700000000004,99.32000000000001,2.0,5.0,3.0
242.32,2.57,29.46,1,2,242.31799999999996,2.569200000000001,29.46,1.0,2.0,2.0
1016.28,5.17,83.14,2,6,1016.279,5.170500000000005,83.14,2.0,6.0,16.0
433.39,0.68,171.37,7,9,433.38900000000007,0.6763999999999999,171.36999999999998,7.0,9.0,4.0
416.38,0.34,149.82,5,9,416.3820000000001,0.34429999999999944,149.82,5.0,9.0,4.0
890.12,2.64,233.93,8,14,890.1209999999999,2.6396000000000024,233.92999999999998,8.0,14.0,11.0
338.36,3.74,65.74,0,5,338.359,3.7448200000000025,65.74000000000001,0.0,5.0,5.0
536.62,4.35,108.36,1,8,536.6210000000003,4.345400000000004,108.36000000000001,1.0,8.0,6.0
400.56,6.01,52.6,0,4,400.55900000000014,6.011200000000006,52.6,0.0,4.0,13.0
211.26,1.0,61.77,1,3,211.265,1.0027000000000001,61.77,1.0,3.0,2.0
242.32,3.45,41.99,1,2,242.32199999999997,3.4541200000000023,41.99,1.0,2.0,3.0
472.75,7.15,41.99,1,3,472.75400000000036,7.14910000000001,41.99,1.0,3.0,1.0
807.34,16.43,78.9,0,6,807.3389999999994,16.428499999999964,78.9,0.0,6.0,47.0
112.13,1.04,37.3,1,1,112.128,1.0372000000000001,37.3,1.0,1.0,1.0
318.46,4.02,46.53,1,3,318.45700000000005,4.019400000000004,46.53,1.0,3.0,2.0
464.38,3.31,177.89,6,10,464.3820000000002,3.3124000000000016,177.89,6.0,10.0,4.0
331.41,2.55,66.84,1,3,331.4120000000001,2.5457,66.84,1.0,3.0,6.0
933.58,19.94,78.9,0,6,933.5819999999987,19.939399999999992,78.9,0.0,6.0,56.0
426.42,-3.8,195.6,7,12,426.4150000000001,-3.800199999999997,195.6,7.0,12.0,7.0
410.46,0.13,136.68,5,8,410.463,0.13303999999999971,136.68,5.0,8.0,5.0
369.46,5.75,49.33,2,3,369.4640000000001,5.746000000000005,49.33,2.0,3.0,1.0
555.8,4.19,125.32,4,7,555.7970000000003,4.189700000000003,125.32000000000001,4.0,7.0,19.0
476.48,0.84,145.66,2,10,476.4780000000003,0.8426999999999999,145.66000000000003,2.0,10.0,6.0
943.13,-0.04,294.98,11,18,943.1340000000005,-0.04099999999999354,294.97999999999996,11.0,18.0,14.0
